"Geographic Area Name (NAME)","2012 NAICS code (NAICS2012)","Meaning of NAICS code (NAICS2012_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Paid employees for pay period including March 12 (number) (EMP)","First-quarter payroll ($1,000) (PAYQTR1)","Annual payroll ($1,000) (PAYANN)"
"Montana","722511","Full-service restaurants","Individual proprietorships","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Montana","722511","Full-service restaurants","S-corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Montana","722511","Full-service restaurants","Corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Montana","722511","Full-service restaurants","All establishments","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Montana","722511","Full-service restaurants","Non-profit","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Montana","722511","Full-service restaurants","Partnerships","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Nebraska","722511","Full-service restaurants","Corporations","All establishments","2016","233","8,687","34,526","143,397"
"Nebraska","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2016","1","0 to 19 employees","D","D"
"Nebraska","722511","Full-service restaurants","S-corporations","All establishments","2016","565","12,184","43,839","183,091"
"Nebraska","722511","Full-service restaurants","Non-profit","All establishments","2016","1","0 to 19 employees","D","D"
"Nebraska","722511","Full-service restaurants","Individual proprietorships","All establishments","2016","302","2,296","6,805","28,633"
"Nebraska","722511","Full-service restaurants","All establishments","All establishments","2016","1,438","29,776","108,244","457,360"
"Nebraska","722511","Full-service restaurants","Partnerships","All establishments","2016","336","6,609","23,074","102,233"
"Nebraska","722511","Full-service restaurants","All establishments","Establishments with 1 to 4 employees","2016","403","679","2,161","18,111"
"Nebraska","722511","Full-service restaurants","S-corporations","Establishments with 1 to 4 employees","2016","107","227","809","5,995"
"Nebraska","722511","Full-service restaurants","Non-profit","Establishments with 1 to 4 employees","2016","1","0 to 19 employees","D","D"
"Nebraska","722511","Full-service restaurants","Partnerships","Establishments with 1 to 4 employees","2016","96","116","322","5,913"
"Nebraska","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 1 to 4 employees","2016","1","0 to 19 employees","D","D"
"Nebraska","722511","Full-service restaurants","Individual proprietorships","Establishments with 1 to 4 employees","2016","165","279","773","4,726"
"Nebraska","722511","Full-service restaurants","Corporations","Establishments with 1 to 4 employees","2016","33","57","257","1,471"
"Nebraska","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2016","86","600","2,190","9,087"
"Nebraska","722511","Full-service restaurants","Corporations","Establishments with 5 to 9 employees","2016","20","127","376","1,535"
"Nebraska","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2016","223","1,493","4,181","17,413"
"Nebraska","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2016","66","428","898","3,619"
"Nebraska","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 5 to 9 employees","2016","0","0","0","0"
"Nebraska","722511","Full-service restaurants","Non-profit","Establishments with 5 to 9 employees","2016","0","0","0","0"
"Nebraska","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2016","51","338","717","3,172"
"Nebraska","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2016","135","1,896","6,500","27,002"
"Nebraska","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2016","283","3,910","12,483","51,376"
"Nebraska","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2016","60","814","2,398","10,478"
"Nebraska","722511","Full-service restaurants","Corporations","Establishments with 10 to 19 employees","2016","43","614","2,141","8,452"
"Nebraska","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2016","45","586","1,444","5,444"
"Nebraska","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 10 to 19 employees","2016","0","0","0","0"
"Nebraska","722511","Full-service restaurants","Non-profit","Establishments with 10 to 19 employees","2016","0","0","0","0"
"Nebraska","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2016","20","546","1,791","7,325"
"Nebraska","722511","Full-service restaurants","Non-profit","Establishments with 20 to 49 employees","2016","0","0","0","0"
"Nebraska","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2016","359","11,199","40,300","165,940"
"Nebraska","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 20 to 49 employees","2016","0","0","0","0"
"Nebraska","722511","Full-service restaurants","Corporations","Establishments with 20 to 49 employees","2016","58","1,872","6,572","26,184"
"Nebraska","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2016","184","5,562","19,897","82,062"
"Nebraska","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2016","97","3,219","12,040","50,369"
"Nebraska","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2016","150","9,842","38,403","158,033"
"Nebraska","722511","Full-service restaurants","Corporations","Establishments with 50 to 99 employees","2016","69","4,681","19,599","81,996"
"Nebraska","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2016","46","3,003","10,792","42,585"
"Nebraska","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2016","6","250 to 499 employees","D","D"
"Nebraska","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2016","29","1,701","6,113","25,933"
"Nebraska","722511","Full-service restaurants","Non-profit","Establishments with 50 to 99 employees","2016","0","0","0","0"
"Nebraska","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 50 to 99 employees","2016","0","0","0","0"
"Nebraska","722511","Full-service restaurants","Corporations","Establishments with 100 to 249 employees","2016","10","1,336","5,581","23,759"
"Nebraska","722511","Full-service restaurants","Non-profit","Establishments with 100 to 249 employees","2016","0","0","0","0"
"Nebraska","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2016","3","421","1,484","6,368"
"Nebraska","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2016","0","0","0","0"
"Nebraska","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2016","20","2,653","10,716","46,487"
"Nebraska","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 100 to 249 employees","2016","0","0","0","0"
"Nebraska","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2016","7","896","3,651","16,360"
"Nebraska","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Nebraska","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Nebraska","722511","Full-service restaurants","Non-profit","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Nebraska","722511","Full-service restaurants","Partnerships","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Nebraska","722511","Full-service restaurants","Individual proprietorships","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Nebraska","722511","Full-service restaurants","S-corporations","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Nebraska","722511","Full-service restaurants","Corporations","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Nebraska","722511","Full-service restaurants","S-corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Nebraska","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Nebraska","722511","Full-service restaurants","Partnerships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Nebraska","722511","Full-service restaurants","Corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Nebraska","722511","Full-service restaurants","All establishments","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Nebraska","722511","Full-service restaurants","Non-profit","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Nebraska","722511","Full-service restaurants","Individual proprietorships","Establishments with 500 to 999 employees","2016","0","0","0","0"
